tracer,j,i,dJ_darwin,dJ_bling,asym_rel,model0,obs_pco2
DIC,4,109,-956.1575937065306,-886.5911883622445,0.2586676151176019,0.0002532072248868644,0.00040177796936035156
DIC,6,63,-412.00398293962473,-377.13260086849743,4.007695556380518,0.00030618486925959587,0.00036472048164480376
DIC,6,74,-243.20072910898855,-256.34516047260973,7.008450012166991,0.00029673485551029444,0.0003311780194102093
DIC,6,87,-178.72042733793043,-175.50227837429014,2.7734830720034434,0.0002975716779474169,0.0003204178187502488
DIC,6,97,97.63525261821292,10.566002518350272,1.4454773631545448,0.00030031727510504425,0.0002883125338164899
DIC,7,10,592.4167388430255,645.9530168848829,0.9979445881217418,0.00030381596297957003,0.00024051820383788012
DIC,9,120,-374.25913583096525,-302.30979381850796,4.524686893752327,0.0002833450853358954,0.0003378032382808605
DIC,10,25,-96.35591981116146,187.72700819799996,3.137223197810721,0.00032398971961811185,0.0003356227809323486
DIC,10,35,-90.5680265294156,244.36320512528403,2.733895866242368,0.000332867493852973,0.0003443587313501019
DIC,13,53,-212.16154189019673,-137.60113090273057,0.49040651430269555,0.0002993889502249658,0.00036413286572456536
DIC,17,12,-231.29518299253274,-234.9998581278694,0.1778432369207357,0.0002628921065479517,0.0003497863656857397
DIC,17,63,-387.29845483063787,-326.19436216135244,0.7825675665300447,0.0002939020923804492,0.0003664801290993898
DIC,19,1,-281.1530081455019,-260.7851729809407,1.3474074135884013,0.0003032826352864504,0.0003554803670247396
DIC,19,101,-1065.6599192121105,-1058.5788215223527,0.11303017996476551,0.0002934215881396085,0.00048292603363204306
DIC,20,23,-177.14146463219987,-189.4442798355104,6.918240107201961,0.0003550185065250844,0.0003787671202601883
DIC,24,37,-193.2042698727818,-211.63481300854076,4.235368924040374,0.0003161148342769593,0.00034977307128906244
DIC,25,73,-210.15316752312617,-201.4357127614136,4.831539873678356,0.00031436499557457864,0.00034954657030282434
DIC,25,91,-210.0454597871808,-169.68318323451894,4.890161682950624,0.00034605362452566624,0.0003817779936949807
DIC,25,119,-340.97751543054477,-411.73953882870865,1.6763396986867716,0.00035668438067659736,0.0004128518385190636
DIC,27,55,680.9653499136153,1001.8893671635359,1.3066528993084774,0.0004401864716783166,0.0004035625684554544
DIC,30,14,-170.24456393302768,-196.07093717614717,36.75349146054446,0.00035039670183323324,0.0003761978352864583
DIC,30,25,10.978766812860512,15.474178708090287,5.687736238576289,0.0003539259487297386,0.00035131582014072963
DIC,34,109,-569.60250387283,-608.2056685891824,1.8172277774667598,0.00035873017623089254,0.00040860665529411346
DIC,38,77,-95.4369543265848,-90.09846263986937,42.062571527666684,0.0003288451407570392,0.00034725264936587806
DIC,38,121,-253.18974370159768,-230.5003906457301,2.1653831302867004,0.00032095907954499125,0.0003657535854921646
DIC,39,46,30.656279844386894,27.680073139128588,2.0893758832285014,0.0003191180294379592,0.0003126033668146856
DIC,39,67,-349.57877868291445,-349.9052266869903,1.090531371730967,0.0003037040587514639,0.00036533403737040645
DIC,39,89,658.645142580071,852.4823325461443,1.0437631033465318,0.0004359783779364079,0.0003700523545891922
DIC,40,22,-257.68349115255944,-129.39220131342816,21.59162972004986,0.000358377059455961,0.00039223416137695313
DIC,41,56,-208.0762512194792,-217.6300288343726,1.8722597936842922,0.00029471691232174635,0.00033595784695910334
DIC,44,101,-659.7066971537927,-956.7486789366635,0.35795998643736887,0.0002564363821875304,0.0003478350864507051
DIC,44,111,-173.33250260768503,-217.47883642420607,1.1039239493607997,0.00029531086329370737,0.00033856074031347595
DIC,48,121,-283.8418250997199,-403.03218182831597,0.6252819115996482,0.00029952972545288503,0.0003665215922494349
DIC,50,80,-478.3807807247611,-554.8189000460519,0.7311568549094283,0.0002994597889482975,0.00038099718108704233
DIC,51,66,-841.5658185096423,-992.8714770421024,0.3057560240682101,0.000280992710031569,0.00041820622777147845
DIC,54,108,-9542.919088968965,-9793.629893472238,0.0414744365096825,0.00018131578690372407,0.00033237413024902345
DIC,55,3,-707.8686785631533,-929.0492212145747,0.34469457502312956,0.00025473031564615667,0.00037656227001171475
DIC,40,97,22737.11387294839,25624.729661897367,0.7648710700929389,0.0005122249713167548,0.00037598521781298175
ALK,4,109,863.125049564744,785.588305458581,0.21552457670495886,0.0002532072248868644,0.00040177796936035156
ALK,6,63,370.4841081105542,339.9028077745317,3.6147279139434825,0.00030618486925959587,0.00036472048164480376
ALK,6,74,220.0846779734656,230.59830836101494,6.236322991491741,0.00029673485551029444,0.0003311780194102093
ALK,6,87,163.41029506798372,157.5114864188054,2.5041795780814287,0.0002975716779474169,0.0003204178187502488
ALK,6,97,-89.52715326572167,-9.450646674131518,1.374195194345933,0.00030031727510504425,0.0002883125338164899
ALK,7,10,-537.5072226842182,-580.9373802706468,0.9822766925792085,0.00030381596297957003,0.00024051820383788012
ALK,9,120,339.23593600875336,270.4846028558527,5.5832923592629475,0.0002833450853358954,0.0003378032382808605
ALK,10,25,85.73865682828429,-168.8587892684202,3.154090174357084,0.00032398971961811185,0.0003356227809323486
ALK,10,35,82.44435807251043,-220.72035819453725,2.3837962557581105,0.000332867493852973,0.0003443587313501019
ALK,13,53,178.36768243247582,119.63441268736655,0.42510797795831085,0.0002993889502249658,0.00036413286572456536
ALK,17,12,182.0544542040875,192.61643746973186,0.1739523386968533,0.0002628921065479517,0.0003497863656857397
ALK,17,63,315.9371117953493,270.53456298773466,0.6963015159517708,0.0002939020923804492,0.0003664801290993898
ALK,19,1,234.03171667025646,214.31463719385386,1.3649142281589137,0.0003032826352864504,0.0003554803670247396
ALK,19,101,860.486550999881,888.5578981288364,0.047453837729210066,0.0002934215881396085,0.00048292603363204306
ALK,20,23,148.23052446674853,156.2302697126031,5.52920483684259,0.0003550185065250844,0.0003787671202601883
ALK,24,37,154.02997825166216,168.63647186055027,3.712138256428155,0.0003161148342769593,0.00034977307128906244
ALK,25,73,164.2974605780891,157.65808677814934,4.014690737360222,0.00031436499557457864,0.00034954657030282434
ALK,25,91,167.63868163617008,136.68954839272385,3.0889296984811234,0.00034605362452566624,0.0003817779936949807
ALK,25,119,272.90040868437114,326.9408984236545,1.4433787482911586,0.00035668438067659736,0.0004128518385190636
ALK,27,55,-561.0015534742458,-817.9563251658442,1.2329539743170814,0.0004401864716783166,0.0004035625684554544
ALK,30,14,134.09603749806558,155.69672864973407,31.315073167374933,0.00035039670183323324,0.0003761978352864583
ALK,30,25,-8.761337984347083,-12.308427934250549,2.1748941296524045,0.0003539259487297386,0.00035131582014072963
ALK,34,109,426.94137840597057,485.4092922751536,1.2883997443032884,0.00035873017623089254,0.00040860665529411346
ALK,38,77,75.36727135375861,72.75839535997466,9.155536358767272,0.0003288451407570392,0.00034725264936587806
ALK,38,121,201.5216520562293,188.4420043217574,1.7205485803751424,0.00032095907954499125,0.0003657535854921646
ALK,39,46,-24.54716508872543,-22.02863532859178,2.1220230618868885,0.0003191180294379592,0.0003126033668146856
ALK,39,67,277.46950374619655,277.37773725099174,0.9725198968410419,0.0003037040587514639,0.00036533403737040645
ALK,39,89,-556.3508707597406,-712.194420328471,1.0000061478322693,0.0004359783779364079,0.0003700523545891922
ALK,40,22,208.0754112682164,104.40650752070212,20.774324514666386,0.000358377059455961,0.00039223416137695313
ALK,41,56,165.98115110087616,173.7514985764539,1.560511781023531,0.00029471691232174635,0.00033595784695910334
