datetime,discharge_cms
2011-09-15,19.1
2011-09-16,18.7
2011-09-17,17.7
2011-09-18,17.5
2011-09-19,19.1
2011-09-20,17.4
2011-09-21,16.2
2011-09-22,18.4
2011-09-23,27.7
2011-09-24,24.8
2011-09-25,21.9
2011-09-26,33.9
2011-09-27,86.1
2011-09-28,41.8
2011-09-29,28.7
2011-09-30,23.2
2011-10-01,20.6
2011-10-02,19.0
2011-10-03,23.1
2011-10-04,30.0
2011-10-05,34.6
2011-10-06,29.6
2011-10-07,27.4
2011-10-08,26.2
2011-10-09,22.0
2011-10-10,19.6
2011-10-11,46.8
2011-10-12,75.6
2011-10-13,48.6
2011-10-14,37.9
2011-10-15,32.1
2011-10-16,28.0
2011-10-17,26.9
2011-10-18,26.6
2011-10-19,23.8
2011-10-20,23.0
2011-10-21,24.5
2011-10-22,30.8
2011-10-23,38.8
2011-10-24,30.4
2011-10-25,26.9
2011-10-26,26.8
2011-10-27,23.1
2011-10-28,20.9
2011-10-29,29.9
2011-10-30,24.9
2011-10-31,28.1
2011-11-01,24.2
2011-11-02,22.0
2011-11-03,22.2
2011-11-04,20.8
2011-11-05,19.6
2011-11-06,18.6
2011-11-07,17.9
2011-11-08,17.5
2011-11-09,17.2
2011-11-10,17.8
2011-11-11,19.4
2011-11-12,27.6
2011-11-13,23.0
2011-11-14,21.3
2011-11-15,19.7
2011-11-16,18.4
2011-11-17,32.2
2011-11-18,29.6
2011-11-19,24.1
2011-11-20,21.5
2011-11-21,20.9
2011-11-22,58.5
2011-11-23,197.9
2011-11-24,111.7
2011-11-25,77.0
2011-11-26,59.8
2011-11-27,159.1
2011-11-28,148.3
2011-11-29,93.9
2011-11-30,75.3
2011-12-01,63.6
2011-12-02,55.9
2011-12-03,49.9
2011-12-04,45.4
2011-12-05,41.8
2011-12-06,38.6
2011-12-07,36.5
2011-12-08,34.4
2011-12-09,32.6
2011-12-10,31.4
2011-12-11,30.1
2011-12-12,28.5
2011-12-13,27.2
2011-12-14,26.5
2011-12-15,25.6
2011-12-16,24.6
2011-12-17,24.0
2011-12-18,24.7
2011-12-19,24.1
2011-12-20,22.7
2011-12-21,22.3
2011-12-22,21.2
2011-12-23,20.8
2011-12-24,21.0
2011-12-25,22.5
2011-12-26,23.1
2011-12-27,23.4
2011-12-28,95.9
2011-12-29,140.1
2011-12-30,99.3
2011-12-31,74.9
2012-01-01,61.2
2012-01-02,57.0
2012-01-03,75.1
2012-01-04,94.2
2012-01-05,152.9
2012-01-06,101.2
2012-01-07,81.8
2012-01-08,72.2
2012-01-09,64.6
2012-01-10,56.6
2012-01-11,52.0
2012-01-12,49.7
2012-01-13,45.3
2012-01-14,45.3
2012-01-15,42.6
2012-01-16,38.1
2012-01-17,37.6
2012-01-18,36.7
2012-01-19,33.8
2012-01-20,34.6
2012-01-21,71.7
2012-01-22,61.5
2012-01-23,55.8
2012-01-24,51.7
2012-01-25,92.6
2012-01-26,80.7
2012-01-27,64.6
2012-01-28,55.6
2012-01-29,80.4
2012-01-30,101.5
2012-01-31,79.3
2012-02-01,71.2
2012-02-02,62.4
2012-02-03,56.9
2012-02-04,53.5
2012-02-05,49.8
2012-02-06,46.6
2012-02-07,44.9
2012-02-08,43.4
2012-02-09,46.5
2012-02-10,60.2
2012-02-11,61.2
2012-02-12,56.5
2012-02-13,51.9
2012-02-14,47.9
2012-02-15,43.4
2012-02-16,42.3
2012-02-17,40.3
2012-02-18,50.8
2012-02-19,46.9
2012-02-20,40.9
2012-02-21,45.8
2012-02-22,72.1
2012-02-23,64.3
2012-02-24,57.4
2012-02-25,57.3
2012-02-26,50.1
2012-02-27,47.4
2012-02-28,45.1
2012-02-29,44.1
2012-03-01,41.1
2012-03-02,37.0
2012-03-03,38.5
2012-03-04,35.9
2012-03-05,36.9
2012-03-06,36.1
2012-03-07,33.4
2012-03-08,31.9
2012-03-09,31.7
2012-03-10,34.5
2012-03-11,35.0
2012-03-12,36.7
2012-03-13,37.1
2012-03-14,33.8
2012-03-15,56.7
2012-03-16,70.8
2012-03-17,57.5
2012-03-18,49.6
2012-03-19,51.7
2012-03-20,45.0
2012-03-21,43.0
2012-03-22,41.7
2012-03-23,36.8
2012-03-24,35.8
2012-03-25,35.1
2012-03-26,34.6
2012-03-27,37.0
2012-03-28,46.6
2012-03-29,62.4
2012-03-30,62.6
2012-03-31,55.6
2012-04-01,49.7
2012-04-02,44.8
2012-04-03,45.3
2012-04-04,45.0
2012-04-05,41.4
2012-04-06,38.8
2012-04-07,36.3
2012-04-08,34.6
2012-04-09,34.2
2012-04-10,36.8
2012-04-11,41.1
2012-04-12,43.6
2012-04-13,45.3
2012-04-14,42.6
2012-04-15,41.7
2012-04-16,46.1
2012-04-17,50.3
2012-04-18,45.4
2012-04-19,43.6
2012-04-20,64.0
2012-04-21,62.2
2012-04-22,63.2
2012-04-23,84.7
2012-04-24,103.8
2012-04-25,116.8
2012-04-26,143.8
2012-04-27,108.0
2012-04-28,87.4
2012-04-29,79.3
2012-04-30,82.0
2012-05-01,78.8
2012-05-02,69.3
2012-05-03,63.6
2012-05-04,59.2
2012-05-05,54.8
2012-05-06,51.7
2012-05-07,52.2
2012-05-08,59.0
2012-05-09,62.7
2012-05-10,58.3
2012-05-11,53.9
2012-05-12,52.8
2012-05-13,58.4
2012-05-14,71.2
2012-05-15,90.4
2012-05-16,98.4
2012-05-17,91.0
2012-05-18,80.1
2012-05-19,71.6
2012-05-20,68.9
2012-05-21,83.9
2012-05-22,109.6
2012-05-23,88.8
2012-05-24,78.0
2012-05-25,70.3
2012-05-26,70.4
2012-05-27,75.3
2012-05-28,75.4
2012-05-29,71.7
2012-05-30,65.9
2012-05-31,72.4
2012-06-01,104.4
2012-06-02,109.8
2012-06-03,88.3
2012-06-04,75.9
2012-06-05,68.7
2012-06-06,64.2
2012-06-07,69.2
2012-06-08,75.4
2012-06-09,65.5
2012-06-10,62.7
2012-06-11,63.3
2012-06-12,74.8
2012-06-13,82.0
2012-06-14,77.2
2012-06-15,70.0
2012-06-16,81.7
2012-06-17,111.9
2012-06-18,91.9
2012-06-19,78.5
2012-06-20,71.1
2012-06-21,73.7
2012-06-22,78.8
2012-06-23,79.0
2012-06-24,78.3
2012-06-25,69.3
2012-06-26,66.9
2012-06-27,61.5
2012-06-28,61.0
2012-06-29,68.5
2012-06-30,78.8
2012-07-01,81.9
2012-07-02,80.0
2012-07-03,77.3
2012-07-04,73.0
2012-07-05,70.0
2012-07-06,65.7
2012-07-07,69.8
2012-07-08,73.8
2012-07-09,85.5
2012-07-10,92.0
2012-07-11,83.7
2012-07-12,84.6
2012-07-13,91.0
2012-07-14,83.6
2012-07-15,88.0
2012-07-16,75.2
2012-07-17,75.6
2012-07-18,74.6
2012-07-19,68.9
2012-07-20,69.8
2012-07-21,63.8
2012-07-22,56.8
2012-07-23,51.2
2012-07-24,48.7
2012-07-25,48.5
2012-07-26,50.9
2012-07-27,51.9
2012-07-28,48.3
2012-07-29,47.1
2012-07-30,43.7
2012-07-31,43.0
2012-08-01,39.3
2012-08-02,38.7
2012-08-03,38.0
2012-08-04,37.7
2012-08-05,40.9
2012-08-06,43.2
2012-08-07,39.7
2012-08-08,37.6
2012-08-09,33.4
2012-08-10,31.1
2012-08-11,29.4
2012-08-12,27.9
2012-08-13,27.3
2012-08-14,27.4
2012-08-15,28.9
2012-08-16,27.4
