Day,Daily SSC (mg/L)
2011-09-15,53.9
2011-09-16,54.1
2011-09-17,54.1
2011-09-18,54.2
2011-09-19,54.2
2011-09-20,54.2
2011-09-21,54.1
2011-09-22,54.1
2011-09-23,54.3
2011-09-24,54.1
2011-09-25,54.1
2011-09-26,126.0
2011-09-27,106.9
2011-09-28,104.3
2011-09-29,84.0
2011-09-30,81.1
2011-10-01,84.2
2011-10-02,87.5
2011-10-03,89.4
2011-10-04,91.2
2011-10-05,95.7
2011-10-06,90.7
2011-10-07,84.6
2011-10-08,81.0
2011-10-09,78.0
2011-10-10,79.8
2011-10-11,103.7
2011-10-12,158.3
2011-10-13,121.8
2011-10-14,95.7
2011-10-15,85.3
2011-10-16,80.7
2011-10-17,76.7
2011-10-18,75.6
2011-10-19,282.2
2011-10-20,147.4
2011-10-21,172.6
2011-10-22,184.1
2011-10-23,210.1
2011-10-24,166.8
2011-10-25,149.1
2011-10-26,143.6
2011-10-27,148.4
2011-10-28,143.7
2011-10-29,135.1
2011-10-30,123.4
2011-10-31,112.0
2011-11-01,107.7
2011-11-02,106.0
2011-11-03,103.1
2011-11-04,102.0
2011-11-05,95.7
2011-11-06,92.8
2011-11-07,92.0
2011-11-08,93.9
2011-11-09,92.8
2011-11-10,97.8
2011-11-11,102.6
2011-11-12,116.8
2011-11-13,111.6
2011-11-14,104.3
2011-11-15,101.3
2011-11-16,104.9
2011-11-17,128.9
2011-11-18,154.9
2011-11-19,152.2
2011-11-20,132.0
2011-11-21,119.4
2011-11-22,300.5
2011-11-23,1513.9
2011-11-24,935.4
2011-11-25,483.4
2011-11-26,416.7
2011-11-27,845.0
2011-11-28,1050.6
2011-11-29,466.0
2011-11-30,251.9
2011-12-01,223.0
2011-12-02,206.7
2011-12-03,170.4
2011-12-04,165.1
2011-12-05,164.9
2011-12-06,138.6
2011-12-07,121.2
2011-12-08,113.7
2011-12-09,103.5
2011-12-10,99.0
2011-12-11,92.8
2011-12-12,86.8
2011-12-13,84.6
2011-12-14,81.7
2011-12-15,78.4
2011-12-16,77.4
2011-12-17,77.2
2011-12-18,77.2
2011-12-19,99.7
2011-12-20,194.5
2011-12-21,135.0
2011-12-22,197.0
2011-12-23,157.2
2011-12-24,148.2
2011-12-25,144.8
2011-12-26,142.3
2011-12-27,143.1
2011-12-28,647.6
2011-12-29,1325.2
2011-12-30,928.0
2011-12-31,455.5
2012-01-01,342.9
2012-01-02,265.9
2012-01-03,279.2
2012-01-04,299.9
2012-01-05,435.2
2012-01-06,507.8
2012-01-07,445.1
2012-01-08,258.6
2012-01-09,206.8
2012-01-10,178.0
2012-01-11,169.5
2012-01-12,159.1
2012-01-13,145.4
2012-01-14,135.9
2012-01-15,123.4
2012-01-16,119.3
2012-01-17,114.9
2012-01-18,121.0
2012-01-19,115.0
2012-01-20,106.3
2012-01-21,168.4
2012-01-22,154.6
2012-01-23,283.2
2012-01-24,177.9
2012-01-25,289.6
2012-01-26,260.5
2012-01-27,368.5
2012-01-28,247.1
2012-01-29,328.4
2012-01-30,371.0
2012-01-31,245.0
2012-02-01,204.6
2012-02-02,184.2
2012-02-03,166.2
2012-02-04,158.6
2012-02-05,145.9
2012-02-06,136.5
2012-02-07,132.1
2012-02-08,115.4
2012-02-09,115.8
2012-02-10,121.7
2012-02-11,105.9
2012-02-12,96.7
2012-02-13,100.0
2012-02-14,100.3
2012-02-15,100.1
2012-02-16,99.4
2012-02-17,95.2
2012-02-18,118.8
2012-02-19,112.2
2012-02-20,107.0
2012-02-21,110.3
2012-02-22,151.3
2012-02-23,133.5
2012-02-24,133.1
2012-02-25,133.2
2012-02-26,126.4
2012-02-27,120.9
2012-02-28,114.4
2012-02-29,115.9
2012-03-01,115.5
2012-03-02,114.4
2012-03-03,117.9
2012-03-04,112.2
2012-03-05,116.7
2012-03-06,117.8
2012-03-07,117.8
2012-03-08,109.9
2012-03-09,106.7
2012-03-10,107.9
2012-03-11,110.1
2012-03-12,119.0
2012-03-13,127.4
2012-03-14,121.5
2012-03-15,175.9
2012-03-16,410.7
2012-03-17,324.3
2012-03-18,282.3
2012-03-19,261.5
2012-03-20,248.8
2012-03-21,420.3
2012-03-22,255.7
2012-03-23,279.9
2012-03-24,324.5
2012-03-25,395.8
2012-03-26,528.1
2012-03-27,783.8
2012-03-28,1458.3
2012-03-29,2555.3
2012-03-30,2534.8
2012-03-31,1914.9
2012-04-01,1987.1
2012-04-02,1604.9
2012-04-03,1119.0
2012-04-04,959.0
2012-04-05,682.9
2012-04-06,618.7
2012-04-07,552.8
2012-04-08,456.0
2012-04-09,446.3
2012-04-10,413.4
2012-04-11,481.4
2012-04-12,478.2
2012-04-13,492.3
2012-04-14,446.9
2012-04-15,601.6
2012-04-16,2168.8
2012-04-17,3556.8
2012-04-18,3329.6
2012-04-19,3007.6
2012-04-20,4068.2
2012-04-21,3365.8
2012-04-22,3024.9
2012-04-23,4417.0
2012-04-24,4602.8
2012-04-25,4640.3
2012-04-26,6489.2
2012-04-27,3555.7
2012-04-28,2268.6
2012-04-29,1327.1
2012-04-30,1104.6
2012-05-01,1255.7
2012-05-02,1606.4
2012-05-03,1168.4
2012-05-04,849.1
2012-05-05,813.5
2012-05-06,691.7
2012-05-07,632.3
2012-05-08,902.2
2012-05-09,1032.8
2012-05-10,790.4
2012-05-11,572.0
2012-05-12,543.8
2012-05-13,654.7
2012-05-14,1082.8
2012-05-15,768.0
2012-05-16,689.1
2012-05-17,507.0
2012-05-18,359.2
2012-05-19,296.2
2012-05-20,275.8
2012-05-21,426.5
2012-05-22,1067.6
2012-05-23,723.7
2012-05-24,593.4
2012-05-25,537.7
2012-05-26,423.9
2012-05-27,371.7
2012-05-28,301.9
2012-05-29,261.3
2012-05-30,246.7
