datetime,YEAR,MO,DY,WS2M,T2M
2011-01-01,2011,1,1,1.08,-4.27
2011-01-02,2011,1,2,0.94,-2.64
2011-01-03,2011,1,3,0.71,-1.52
2011-01-04,2011,1,4,0.54,-0.69
2011-01-05,2011,1,5,0.9,2.38
2011-01-06,2011,1,6,0.61,3.31
2011-01-07,2011,1,7,1.05,2.24
2011-01-08,2011,1,8,0.73,-0.58
2011-01-09,2011,1,9,0.77,-3.31
2011-01-10,2011,1,10,0.91,-3.22
2011-01-11,2011,1,11,0.97,-3.3
2011-01-12,2011,1,12,1.13,2.15
2011-01-13,2011,1,13,0.84,4.94
2011-01-14,2011,1,14,0.98,5.74
2011-01-15,2011,1,15,0.58,5.44
2011-01-16,2011,1,16,0.97,6.79
2011-01-17,2011,1,17,1.05,2.69
2011-01-18,2011,1,18,0.51,-0.07
2011-01-19,2011,1,19,0.39,0.45
2011-01-20,2011,1,20,0.74,1.6
2011-01-21,2011,1,21,0.8,3.77
2011-01-22,2011,1,22,0.49,2.73
2011-01-23,2011,1,23,0.5,2.71
2011-01-24,2011,1,24,0.44,3.88
2011-01-25,2011,1,25,0.35,3.66
2011-01-26,2011,1,26,0.56,4.32
2011-01-27,2011,1,27,0.72,5.29
2011-01-28,2011,1,28,0.56,4.09
2011-01-29,2011,1,29,0.44,3.59
2011-01-30,2011,1,30,0.74,0.04
2011-01-31,2011,1,31,0.7,0.18
2011-02-01,2011,2,1,0.78,0.49
2011-02-02,2011,2,2,0.61,2.63
2011-02-03,2011,2,3,0.78,4.23
2011-02-04,2011,2,4,0.89,5.22
2011-02-05,2011,2,5,0.6,2.22
2011-02-06,2011,2,6,0.76,3.71
2011-02-07,2011,2,7,1.09,1.55
2011-02-08,2011,2,8,0.66,-0.13
2011-02-09,2011,2,9,0.35,0.52
2011-02-10,2011,2,10,0.64,1.37
2011-02-11,2011,2,11,0.66,2.29
2011-02-12,2011,2,12,1.03,3.81
2011-02-13,2011,2,13,0.58,2.35
2011-02-14,2011,2,14,0.93,3.09
2011-02-15,2011,2,15,0.81,1.2
2011-02-16,2011,2,16,0.86,-0.05
2011-02-17,2011,2,17,0.73,-1.66
2011-02-18,2011,2,18,0.73,-0.54
2011-02-19,2011,2,19,1.0,-4.0
2011-02-20,2011,2,20,0.61,-3.18
2011-02-21,2011,2,21,0.68,-0.81
2011-02-22,2011,2,22,0.98,-1.8
2011-02-23,2011,2,23,0.74,-3.73
2011-02-24,2011,2,24,1.06,-7.28
2011-02-25,2011,2,25,0.99,-9.51
2011-02-26,2011,2,26,1.03,-4.78
2011-02-27,2011,2,27,1.08,0.73
2011-02-28,2011,2,28,0.83,-0.67
2011-03-01,2011,3,1,0.69,-0.03
2011-03-02,2011,3,2,1.29,2.27
2011-03-03,2011,3,3,0.86,1.0
2011-03-04,2011,3,4,0.98,0.01
2011-03-05,2011,3,5,0.72,1.4
2011-03-06,2011,3,6,0.38,-0.64
2011-03-07,2011,3,7,0.47,0.01
2011-03-08,2011,3,8,0.7,1.63
2011-03-09,2011,3,9,0.78,3.38
2011-03-10,2011,3,10,0.92,3.06
2011-03-11,2011,3,11,0.64,2.72
2011-03-12,2011,3,12,0.63,2.72
2011-03-13,2011,3,13,0.79,3.19
2011-03-14,2011,3,14,0.86,3.35
2011-03-15,2011,3,15,0.81,3.55
2011-03-16,2011,3,16,0.81,1.3
2011-03-17,2011,3,17,0.67,1.26
2011-03-18,2011,3,18,0.55,1.94
2011-03-19,2011,3,19,0.54,1.6
2011-03-20,2011,3,20,0.63,1.86
2011-03-21,2011,3,21,0.63,1.9
2011-03-22,2011,3,22,0.44,1.62
2011-03-23,2011,3,23,0.62,3.43
2011-03-24,2011,3,24,0.43,4.07
2011-03-25,2011,3,25,0.51,2.41
2011-03-26,2011,3,26,0.51,3.19
2011-03-27,2011,3,27,0.5,2.69
2011-03-28,2011,3,28,0.64,2.92
2011-03-29,2011,3,29,0.61,3.24
