Year,Month,Day,Decimal_Date,CO2_Value,Uncertainty
2011,01,08,2011.020833,395.1435,0.5099
2011,01,16,2011.041667,395.3812,0.4991
2011,01,23,2011.062500,395.6427,0.4760
2011,01,31,2011.083333,395.9213,0.4381
2011,02,08,2011.104167,396.2139,0.3924
2011,02,15,2011.125000,396.5140,0.3486
2011,02,23,2011.145833,396.8112,0.3198
2011,03,02,2011.166667,397.0943,0.3156
2011,03,10,2011.187500,397.3708,0.3388
2011,03,18,2011.208333,397.6055,0.3847
2011,03,25,2011.229167,397.7898,0.4470
2011,04,02,2011.250000,397.9225,0.5187
2011,04,09,2011.270833,398.0062,0.5877
2011,04,17,2011.291667,398.0532,0.6391
2011,04,25,2011.312500,398.0614,0.6621
2011,05,02,2011.333333,397.8111,0.5353
2011,05,10,2011.354167,397.5388,0.4947
2011,05,17,2011.375000,397.1530,0.4209
2011,05,25,2011.395833,396.6113,0.3143
2011,06,02,2011.416667,395.8690,0.1898
2011,06,09,2011.437500,394.7972,0.1661
2011,06,17,2011.458333,393.3140,0.3634
2011,06,24,2011.479167,391.5521,0.6189
2011,07,02,2011.500000,389.6065,0.8701
2011,07,10,2011.520833,387.6114,1.0771
2011,07,17,2011.541667,385.7270,1.2140
2011,07,25,2011.562500,384.1053,1.2589
2011,08,01,2011.583333,382.8723,1.1965
2011,08,09,2011.604167,382.0977,1.0443
2011,08,17,2011.625000,381.8884,0.8244
2011,08,24,2011.645833,382.1938,0.5653
2011,09,01,2011.666667,382.9479,0.3611
2011,09,08,2011.687500,384.0695,0.3484
2011,09,16,2011.708333,385.4575,0.4893
2011,09,24,2011.729167,386.9974,0.6327
2011,10,01,2011.750000,388.5838,0.7304
2011,10,09,2011.770833,390.2677,0.6666
2011,10,16,2011.791667,391.4664,0.6719
2011,10,24,2011.812500,392.5005,0.6500
2011,11,01,2011.833333,393.3595,0.6089
2011,11,08,2011.854167,394.0609,0.5546
2011,11,16,2011.875000,394.6319,0.4861
2011,11,23,2011.895833,395.2153,0.4072
2011,12,01,2011.916667,395.8998,0.4559
2011,12,09,2011.937500,396.2422,0.4018
2011,12,16,2011.958333,396.5289,0.3722
2011,12,24,2011.979167,396.7666,0.3733
2012,01,01,2012.000000,396.9713,0.4107
