OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95100398,Sample-Routine,Water,Surface Water,1951-06-30,,,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,7,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300686,Sample-Routine,Water,Surface Water,1952-11-22,14:30:00,AKST,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,20,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300687,Sample-Routine,Water,Surface Water,1952-11-22,,,,,,,,,,,,,,,USGS-711945156390000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,39,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95100399,Sample-Routine,Water,Surface Water,1951-07-13,,,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,10,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300537,Sample-Routine,Water,Surface Water,1953-07-28,15:30:00,AKST,,,,,,,,,,,,,USGS-15875000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,43,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.96900379,Sample-Routine,Water,Surface Water,1969-05-01,11:00:00,AKDT,,,,,,,,,,,,,USGS-15875000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,125,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.96900690,Sample-Routine,Water,Surface Water,1969-05-06,19:00:00,AKDT,,,,2.5,feet,,,,,,,,USGS-693600151100000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,291,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.96900378,Sample-Routine,Water,Surface Water,1969-04-30,16:20:00,AKDT,,,,,,,,,,,,,USGS-15875000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,313,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.96900687,Sample-Routine,Water,Surface Water,1969-05-06,12:00:00,AKDT,,,,2.5,feet,,,,,,,,USGS-691740150115000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,64,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.96900691,Sample-Routine,Water,Surface Water,1969-05-07,14:00:00,AKDT,,,,,,,,,,,,,USGS-701642148144400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,820,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
