OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-15798700,NUNAVAK C NR BARROW AK,Stream,,19060202,2.9,sq mi,,,71.25930339000000,-156.7859722000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,19,feet,1,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15799000,ESATKUAT C NR BARROW AK,Stream,,19060202,1.46,sq mi,,,71.27458260000000,-156.7323623000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,8,feet,1,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15799300,ESATKUAT LAGOON OUTLET AT BARROW AK,Stream,,19060202,3.52,sq mi,,,71.29402680000000,-156.7718103000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,3,feet,1,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15803000,MEADE R AT ATKASUK AK,Stream,,19060203,1790,sq mi,,,70.49537640000000,-157.3958480000000,63360,1,seconds,Interpolated from MAP.,NAD83,50,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15830000,MIGUAKIAK R NR TESHEKPUK LK NR LONELY AK,Stream,,19060204,1460.00,sq mi,,,70.66988390000000,-154.3255272000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15875000,COLVILLE R AT UMIAT AK,Stream,,19060303,13860,sq mi,,,69.36050000000000,-152.1226944000000,63360,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,206.78,feet,0.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15880000,COLVILLE R NR NUIQSUT AK,Stream,,19060304,20670,sq mi,,,70.16522440000000,-150.9197605000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,10,feet,5,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15896000,KUPARUK R NR DEADHORSE AK,Stream,,19060401,3340,sq mi,,,70.28138539000000,-148.9627860000000,63360,10,seconds,Interpolated from MAP.,NAD83,0.00,feet,.01,feet,Level or other surveyed method.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15896700,PUTULIGAYUK R NR DEADHORSE AK,Stream,,19060401,184,sq mi,,,70.26722570000000,-148.6310988000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,0,feet,0.1,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15910000,SAGAVANIRKTOK R NR SAGWON AK,Stream,,19060402,2200,sq mi,,,69.08965290000000,-148.7622664000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,1000,feet,50,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
