OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97400199,Sample-Routine,Water,Surface Water,1974-08-13,11:00:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,9.1,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97400209,Sample-Routine,Water,Surface Water,1974-09-06,17:00:00,AKDT,,,,,,,,,,,,,USGS-15910200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,14.0,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500965,Sample-Routine,Water,Surface Water,1975-08-13,09:00:00,AKDT,,,,,,,,,,,,,USGS-700507147163000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,4.2,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97600826,Sample-Routine,Water,Surface Water,1975-11-11,17:00:00,AKST,,,,,,,,,,,,,USGS-701216148241000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,5.5,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97600825,Sample-Routine,Water,Surface Water,1975-11-10,14:30:00,AKST,,,,,,,,,,,,,USGS-701100148124600,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,8.5,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500966,Sample-Routine,Water,Surface Water,1975-08-13,11:30:00,AKDT,,,,,,,,,,,,,USGS-701100148124600,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,9.4,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500939,Sample-Routine,Water,Surface Water,1975-04-20,15:40:00,AKDT,,,,,,,,,,,,,USGS-690150147430001,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,5.3,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97600811,Sample-Routine,Water,Surface Water,1975-11-24,11:00:00,AKST,,,,,,,,,,,,,USGS-694950142071500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,3.7,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500958,Sample-Routine,Water,Surface Water,1975-08-08,14:00:00,AKDT,,,,,,,,,,,,,USGS-694207143142300,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,14.0,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97600804,Sample-Routine,Water,Surface Water,1975-11-18,10:00:00,AKST,,,,,,,,,,,,,USGS-694250141473000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic carbon,Total,34.0,mg/l,,Historical,,Actual,,,,,,,00680,,,,,,,,,,,,,,,,,NWIS
