OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97201121,Sample-Routine,Water,Surface Water,1972-03-18,11:00:00,AKST,,,,,,,,,,,,,USGS-701642148144400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.060,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200744,Sample-Routine,Water,Surface Water,1972-06-22,15:55:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.000,mg/l as N,,Historical,,Actual,,,,,,,00608,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200744,Sample-Routine,Water,Surface Water,1972-06-22,15:55:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.000,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200744,Sample-Routine,Water,Surface Water,1972-06-22,15:55:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.000,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200744,Sample-Routine,Water,Surface Water,1972-06-22,15:55:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.00,mg/l NH4,,Historical,,Actual,,,,,,,71846,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200728,Sample-Routine,Water,Surface Water,1972-06-23,18:50:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.013,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200728,Sample-Routine,Water,Surface Water,1972-06-23,18:50:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.01,mg/l NH4,,Historical,,Actual,,,,,,,71846,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200719,Sample-Routine,Water,Surface Water,1972-03-18,09:15:00,AKST,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.100,mg/l as N,,Historical,,Actual,,,,,,,00608,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200719,Sample-Routine,Water,Surface Water,1972-03-18,09:15:00,AKST,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.100,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200719,Sample-Routine,Water,Surface Water,1972-03-18,09:15:00,AKST,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.129,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200719,Sample-Routine,Water,Surface Water,1972-03-18,09:15:00,AKST,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.13,mg/l NH4,,Historical,,Actual,,,,,,,71846,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200732,Sample-Routine,Water,Surface Water,1972-06-24,05:35:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.000,mg/l as N,,Historical,,Actual,,,,,,,00608,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200732,Sample-Routine,Water,Surface Water,1972-06-24,05:35:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.000,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200732,Sample-Routine,Water,Surface Water,1972-06-24,05:35:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.000,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200732,Sample-Routine,Water,Surface Water,1972-06-24,05:35:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.00,mg/l NH4,,Historical,,Actual,,,,,,,71846,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200728,Sample-Routine,Water,Surface Water,1972-06-23,18:50:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.010,mg/l as N,,Historical,,Actual,,,,,,,00608,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200728,Sample-Routine,Water,Surface Water,1972-06-23,18:50:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.010,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97201121,Sample-Routine,Water,Surface Water,1972-03-18,11:00:00,AKST,,,,,,,,,,,,,USGS-701642148144400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.077,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200742,Sample-Routine,Water,Surface Water,1972-03-17,10:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.000,mg/l as N,,Historical,,Actual,,,,,,,00608,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200742,Sample-Routine,Water,Surface Water,1972-03-17,10:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.000,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200742,Sample-Routine,Water,Surface Water,1972-03-17,10:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.000,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
