OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95100398,Sample-Routine,Water,Surface Water,1951-06-30,,,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.07,mg/l as N,,Historical,,Actual,,,,,,,00618,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95100398,Sample-Routine,Water,Surface Water,1951-06-30,,,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.300,mg/l asNO3,,Historical,,Actual,,,,,,,71851,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300686,Sample-Routine,Water,Surface Water,1952-11-22,14:30:00,AKST,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.07,mg/l as N,,Historical,,Actual,,,,,,,00618,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300686,Sample-Routine,Water,Surface Water,1952-11-22,14:30:00,AKST,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.300,mg/l asNO3,,Historical,,Actual,,,,,,,71851,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300687,Sample-Routine,Water,Surface Water,1952-11-22,,,,,,,,,,,,,,,USGS-711945156390000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.09,mg/l as N,,Historical,,Actual,,,,,,,00618,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300687,Sample-Routine,Water,Surface Water,1952-11-22,,,,,,,,,,,,,,,USGS-711945156390000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.400,mg/l asNO3,,Historical,,Actual,,,,,,,71851,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95100399,Sample-Routine,Water,Surface Water,1951-07-13,,,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.05,mg/l as N,,Historical,,Actual,,,,,,,00618,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95100399,Sample-Routine,Water,Surface Water,1951-07-13,,,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.200,mg/l asNO3,,Historical,,Actual,,,,,,,71851,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300537,Sample-Routine,Water,Surface Water,1953-07-28,15:30:00,AKST,,,,,,,,,,,,,USGS-15875000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.07,mg/l as N,,Historical,,Actual,,,,,,,00618,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300537,Sample-Routine,Water,Surface Water,1953-07-28,15:30:00,AKST,,,,,,,,,,,,,USGS-15875000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.300,mg/l asNO3,,Historical,,Actual,,,,,,,71851,,,,,,,,,,,,,,,,,NWIS
