OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0027,Field Msr/Obs,Water,,2011-07-19,12:30:00,AKDT,,,,18,cm,,,,,,ACP Wetlands 2011,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0027,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.71,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0003,Field Msr/Obs,Water,,2011-07-28,23:00:00,AKDT,,,,20,cm,,,,,,ACP Wetlands 2011,Alaska Monitoring and Assessment Program (AKMAP);Alaska Department of Environmental Conservation,AKDECAKMAP-NWCA11-AK-0003,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,5.97,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0001,Field Msr/Obs,Water,,2011-07-09,17:15:00,AKDT,,,,17,cm,,,,,,ACP Wetlands 2011,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0001,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.12,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0047,Field Msr/Obs,Water,,2011-07-16,14:21:00,AKDT,,,,37,cm,,,,,,ACP Wetlands 2011-Targeted,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0047,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.64,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0005,Field Msr/Obs,Water,,2011-07-09,14:06:00,AKDT,,,,32,cm,,,,,,ACP Wetlands 2011,Alaska Monitoring and Assessment Program (AKMAP);Alaska Department of Environmental Conservation,AKDECAKMAP-NWCA11-AK-0005,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.18,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0044,Field Msr/Obs,Water,,2011-07-23,14:30:00,AKDT,,,,35,cm,,,,,,ACP Wetlands 2011-Targeted,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0044,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,7.05,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0029,Field Msr/Obs,Water,,2011-07-11,18:07:00,AKDT,,,,37,cm,,,,,,ACP Wetlands 2011,Alaska Monitoring and Assessment Program (AKMAP);Alaska Department of Environmental Conservation,AKDECAKMAP-NWCA11-AK-0029,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.46,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0028,Field Msr/Obs,Water,,2011-07-22,21:05:00,AKDT,,,,35,cm,,,,,,ACP Wetlands 2011,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0028,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,8.41,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0048,Field Msr/Obs,Water,,2011-07-08,23:24:00,AKDT,,,,35,cm,,,,,,ACP Wetlands 2011-Targeted,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0048,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.98,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0038,Field Msr/Obs,Water,,2011-07-13,17:15:00,AKDT,,,,37,cm,,,,,,ACP Wetlands 2011,Alaska Monitoring and Assessment Program (AKMAP);Alaska Department of Environmental Conservation,AKDECAKMAP-NWCA11-AK-0038,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.77,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
