OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-15798700,NUNAVAK C NR BARROW AK,Stream,,19060202,2.9,sq mi,,,71.25930339000000,-156.7859722000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,19,feet,1,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15799000,ESATKUAT C NR BARROW AK,Stream,,19060202,1.46,sq mi,,,71.27458260000000,-156.7323623000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,8,feet,1,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15799300,ESATKUAT LAGOON OUTLET AT BARROW AK,Stream,,19060202,3.52,sq mi,,,71.29402680000000,-156.7718103000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,3,feet,1,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15803000,MEADE R AT ATKASUK AK,Stream,,19060203,1790,sq mi,,,70.49537640000000,-157.3958480000000,63360,1,seconds,Interpolated from MAP.,NAD83,50,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15820000,IKPIKPUK R BL FRY C NR ALAKTAK AK,Stream,,19060204,1700,sq mi,,,69.76639048000000,-154.6644064000000,63360,.1,seconds,Interpolated from Digital MAP.,NAD83,100,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15830000,MIGUAKIAK R NR TESHEKPUK LK NR LONELY AK,Stream,,19060204,1460.00,sq mi,,,70.66988390000000,-154.3255272000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15860000,FISH C NR NUIQSUT AK,Stream,,19060205,791,sq mi,,,70.27019900000000,-151.8723080000000,63360,1,seconds,Interpolated from Digital MAP.,NAD83,50,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15861000,JUDY C NR NUIQSUT AK,Stream,,19060205,655,sq mi,,,70.22019860000000,-151.8378484000000,63360,1,seconds,Interpolated from Digital MAP.,NAD83,25,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15862500,UBLUTUOCH R 13.7 MI AB MOUTH NR NUIQSUT AK,Stream,,19060205,190,sq mi,,,70.24265560000000,-151.2949472000000,63360,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,50,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15875000,COLVILLE R AT UMIAT AK,Stream,,19060303,13860,sq mi,,,69.36050000000000,-152.1226944000000,63360,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,206.78,feet,0.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,02,185,,,,,,,,,,NWIS
