Col 2 = abs (m2 mgChl-1)
Col 3 = abs photosynthetic (m2 mgChl-1)
Col 4 = tot scatt (m2 mgC-1)
Col 5 = non-spec backscatter coef (m2 mgC-1)
Col 6 = abs (m2 mgC-1)
Format I4,F10.7,F10.6,F10.5,F20.14,F10.7
*** Micromonas (incl. cell diam in um) ***
   0   1.60       1.60        1.60           1.60           1.60
 400 0.0263     0.0244     0.00456    0.000005140      0.000000
 425 0.0337     0.0307     0.00438    0.000005140      0.000000
 450 0.0359     0.0314     0.00421    0.000005140      0.000000
 475 0.0334     0.0289     0.00422    0.000005140      0.000000
 500 0.0231     0.0196     0.00416    0.000005140      0.000000
 525 0.0144     0.0140     0.00393    0.000005140      0.000000
 550 0.0085     0.0085     0.00362    0.000005140      0.000000
 575 0.0070     0.0070     0.00332    0.000005140      0.000000
 600 0.0076     0.0076     0.00304    0.000005140      0.000000
 625 0.0078     0.0078     0.00276    0.000005140      0.000000
 650 0.0115     0.0115     0.00251    0.000005140      0.000000
 675 0.0169     0.0169     0.00242    0.000005140      0.000000
 700 0.0056     0.0056     0.00240    0.000005140      0.000000
*** Syn (incl. cell diameter in um) ***
   0   1.05       1.05        1.05           1.05          1.05
 400 0.0323     0.0227     0.00772    0.000013127      0.000000
 425 0.0406     0.0252     0.00711    0.000013127      0.000000
 450 0.0379     0.0153     0.00676    0.000013127      0.000000
 475 0.0304     0.0070     0.00618    0.000013127      0.000000
 500 0.0304     0.0147     0.00578    0.000013127      0.000000
 525 0.0268     0.0241     0.00534    0.000013127      0.000000
 550 0.0292     0.0291     0.00492    0.000013127      0.000000
 575 0.0135     0.0135     0.00468    0.000013127      0.000000
 600 0.0064     0.0064     0.00419    0.000013127      0.000000
 625 0.0072     0.0072     0.00378    0.000013127      0.000000
 650 0.0077     0.0077     0.00345    0.000013127      0.000000
 675 0.0147     0.0147     0.00321    0.000013127      0.000000
 700 0.0070     0.0070     0.00326    0.000013127      0.000000
*** HL Pro (incl. cell diameter in um) ***
   0   0.63       0.63        0.63           0.63          0.63
 400 0.0273     0.0174     0.00350    0.000014685      0.000000
 425 0.0399     0.0229     0.00325    0.000014685      0.000000
 450 0.0453     0.0172     0.00337    0.000014685      0.000000
